box_loss,cls_loss,dfl_loss,epoch,epoch_time_s,fitness,img_per_s,lr,mAP50,mAP50-95,micro_AP50,n_val_images
3.099716901779175,39.645912170410156,1.920745611190796,0,1256.1,0.05185,19.9,0.00019922724072881883,0.12078,0.04431,0.00031,2000
2.24259090423584,15.810931205749512,1.3855129480361938,1,1159.7,0.17542,21.55,0.00019692114979060586,0.29907,0.10504,0.13981,2000
2.0323855876922607,11.290005683898926,1.2834041118621826,2,1155.7,0.22012,21.63,0.00019311809561704867,0.42767,0.17466,0.08769,2000
1.9037199020385742,9.344056129455566,1.224483847618103,3,1157.2,0.32004,21.6,0.00018787805464429863,0.54796,0.23279,0.21194,2000
1.8326741456985474,8.434099197387695,1.1913270950317383,4,1160.4,0.39205,21.54,0.00018128366544874487,0.66448,0.2901,0.26049,2000
1.7563707828521729,7.680121898651123,1.1585593223571777,5,1154.0,0.38919,21.66,0.00017343892548729833,0.63545,0.27856,0.28874,2000
1.6984235048294067,7.104369640350342,1.1347739696502686,6,1153.1,0.37969,21.67,0.0001644675509953716,0.67148,0.31636,0.19292,2000
1.668474555015564,7.01828145980835,1.1194757223129272,7,1153.9,0.43979,21.66,0.00015451102590794167,0.71783,0.33859,0.30268,2000
1.6417392492294312,6.655181407928467,1.1113699674606323,8,1155.8,0.44464,21.62,0.00014372637057337713,0.73328,0.35707,0.28482,2000
1.598707675933838,6.351808071136475,1.0917612314224243,9,1153.8,0.61967,21.66,0.00013228366544874485,0.76643,0.37214,0.7414,2000
1.5590295791625977,5.932626724243164,1.0823158025741577,10,1159.0,0.62655,21.56,0.00012036336882940102,0.77731,0.3809,0.74297,2000
1.5417795181274414,5.901394367218018,1.07045316696167,11,1160.1,0.48979,21.54,0.00010815347091387274,0.77979,0.38814,0.34285,2000
1.5179471969604492,5.727478504180908,1.0618960857391357,12,1159.4,0.51533,21.56,9.584652908612728e-05,0.77712,0.3894,0.41686,2000
1.4810470342636108,5.470276355743408,1.0521906614303589,13,1158.9,0.49996,21.56,8.363663117059899e-05,0.79753,0.39318,0.35169,2000
1.4659844636917114,5.483253479003906,1.0473090410232544,14,1158.9,0.49015,21.57,7.171633455125519e-05,0.79097,0.40035,0.3221,2000
1.4342303276062012,5.209272861480713,1.0409129858016968,15,1160.0,0.65435,21.54,6.0273629426622893e-05,0.80924,0.41333,0.76262,2000
1.4262909889221191,5.254239559173584,1.0329761505126953,16,1162.5,0.50216,21.5,4.948897409205831e-05,0.80312,0.41313,0.33323,2000
1.4059380292892456,5.063500881195068,1.0275886058807373,17,1160.0,0.65043,21.55,3.95324490046284e-05,0.80374,0.41259,0.75685,2000
1.3895734548568726,5.178125381469727,1.0233689546585083,18,1157.4,0.56994,21.59,3.0561074512701694e-05,0.80979,0.42233,0.51195,2000
1.3817700147628784,5.067120552062988,1.0195115804672241,19,1154.8,0.65831,21.64,2.271633455125515e-05,0.81306,0.42543,0.75855,2000
1.3694928884506226,5.021230697631836,1.013645887374878,20,1162.1,0.53094,21.51,1.6121945355701375e-05,0.81447,0.42722,0.39162,2000
1.347987413406372,4.886789321899414,1.0113550424575806,21,1160.3,0.66492,21.54,1.088190438295138e-05,0.81842,0.42504,0.77323,2000
1.352137565612793,4.892946243286133,1.0096197128295898,22,1155.5,0.57392,21.63,7.078850209394161e-06,0.81714,0.42992,0.50944,2000
1.3436038494110107,4.923567771911621,1.0071494579315186,23,1156.6,0.66831,21.61,4.772759271181193e-06,0.82068,0.4305,0.77553,2000
1.3339691162109375,4.801471710205078,1.0046008825302124,24,1159.7,0.66541,21.55,4.000000000000004e-06,0.81931,0.43079,0.76813,2000
