box_loss,cls_loss,dfl_loss,epoch,epoch_time_s,fitness,img_per_s,lr,mAP50,mAP50-95,micro_AP50,n_val_images
2.2166152000427246,3.2657978534698486,1.4360506534576416,0.0,1006.3,0.10582,24.84,0.0009998914383200486,0.22077,0.11298,0.00013,2000.0
1.5135104656219482,0.9296522736549377,1.0761500597000122,1,1653.2,0.15314,15.12,0.0009995658008989348,0.28851,0.14963,0.04062,2000
1.3943735361099243,0.7814242839813232,1.039598822593689,2,1642.5,0.1635,15.22,0.0009990232305719944,0.31281,0.15686,0.04215,2000
1.3246450424194336,0.7178353667259216,1.0230401754379272,3,1629.4,0.21245,15.34,0.0009982639653285047,0.36242,0.19401,0.10233,2000
1.271733045578003,0.6689114570617676,1.008969783782959,4,1633.5,0.24294,15.3,0.0009972883382072953,0.39036,0.20389,0.15562,2000
1.22699773311615,0.6316731572151184,0.9917734265327454,5,1629.6,0.25059,15.34,0.0009960967771506667,0.42938,0.21776,0.13016,2000
1.176032304763794,0.5890867710113525,0.9800304770469666,6,1633.2,0.26337,15.3,0.0009946898048166792,0.41742,0.21789,0.17681,2000
1.1479663848876953,0.5656527280807495,0.9730051755905151,7,1628.7,0.34392,15.35,0.0009930680383499,0.57784,0.26604,0.22129,2000
1.1292508840560913,0.5520579218864441,0.9648952484130859,8,1638.2,0.31007,15.26,0.000991232189110701,0.48458,0.24844,0.22211,2000
1.1198798418045044,0.5431360602378845,0.9635661840438843,9,2119.6,0.34177,11.79,0.0009891830623632338,0.52516,0.26392,0.26242,2000
1.091880440711975,0.5237581133842468,0.9605798125267029,10,1628.2,0.33228,15.35,0.0009869215569222145,0.50084,0.25804,0.26203,2000
1.085215449333191,0.5167512893676758,0.9588230848312378,11,1623.3,0.33536,15.4,0.0009844486647586726,0.52902,0.27848,0.22625,2000
1.0619646310806274,0.5000212788581848,0.9494565725326538,12,1620.7,0.36134,15.42,0.000981765470564841,0.51759,0.26544,0.32331,2000
1.0500787496566772,0.49259164929389954,0.9479345083236694,13,1613.9,0.41866,15.49,0.0009788731512783732,0.64229,0.31815,0.32748,2000
1.047876238822937,0.490196168422699,0.9466859102249146,14,1615.4,0.44764,15.47,0.000975772975566101,0.63985,0.3172,0.41332,2000
1.0255038738250732,0.4779433310031891,0.9415956139564514,15,1609.9,0.4841,15.52,0.0009724663032675532,0.63433,0.3177,0.52172,2000
1.0208215713500977,0.4741194546222687,0.94081711769104,16,1636.2,0.3664,15.27,0.0009689545847984863,0.54347,0.2761,0.30492,2000
1.026584506034851,0.47082433104515076,0.9422333240509033,17,1630.2,0.36713,15.33,0.0009652393605146845,0.56891,0.30986,0.25146,2000
1.0097447633743286,0.4639032483100891,0.9373612403869629,18,1625.5,0.39562,15.38,0.0009613222600363077,0.60345,0.30414,0.30895,2000
1.0133732557296753,0.46138444542884827,0.9406119585037231,19,1619.6,0.41222,15.43,0.0009572050015330874,0.61505,0.32275,0.32784,2000
0.9993035197257996,0.4500640630722046,0.9360448718070984,20,1631.0,0.44183,15.32,0.0009528893909706797,0.65303,0.33147,0.37115,2000
0.9966812133789062,0.4489659368991852,0.93768310546875,21,1677.4,0.4764,14.9,0.0009483773213185094,0.6733,0.33354,0.45048,2000
